法人代码,法人单位,法人,职务,乡（镇）,村（街）,街道办事处,居委会,地名代码,省地县码,乡村码,区号,电话,电话分机,传真,传真分机,邮政编码,主要产品1,主要产品2,主要产品3,行业类别,会计制度类,注册类型,控股情况,隶属关系,开业时间年,开业时间月,营业状态,建房资级,产活单位数,农林牧渔业,工业,建筑业,交通运输业,批发零售贸,餐饮业,其它,企业规模,轻重工业,从业人数,工业产值固,工业产值现,新产品产值,工业销售现,出口交货值,全部职工,工业增加值,流动资产计,应收帐净额,存货,产成品,流动均余额,长期投资,固定资产合,固资原价合,生产经营用,累计折旧,本年折旧,固资净年余,无形递延合,无形资产,资产总计,流动资产负,长期负债合,负债合计,所有者权益,实收资本,国家资本金,集体资本金,法人资本金,个人资本金,港澳台资本,外商资本金,销售收入,销售成本,销售费用,销售税附加,销售利润,其它业务利,管理费用,税金,财产保险费,劳待保险费,财务费用,利息支出,营业利润,补贴收入,利润总额,亏损总额加,利税总额加,就交所得税,应付利润,年应付工资,主营业务应,年应付福利,主营业务福,应交增值税,本年进项税,本年销项税,中间投入合,税金（加）,YEAR
100006493 ,中国大恒（集团）有限公司,张家林,总裁,中关村,中关村路29号,中关村街道,三区,108,111100,3,10,62561292,,62561897,,100080,电子及计算机外部设备,计算机软件,激光加工设备,4213,1,159,1,90,1987,8,1,,1,0,1,0,0,0,0,0,30,23,0,485364,461096,461096,452445,7600,202,87985,400169,5558,74497,15429,400169,102464,28835,30314,30314,7204,-979,28835,8699,5594,540167,307216,30886,338102,202065,100000,0,0,100000,0,0,0,452445,407541,34192,337,10375,14411,6489,68,0,125,5109,5109,13188,286,31965,0,61821,2754,0,2777,2777,388,388,29519,69619,99138,402630,29856,2000
100017336 ,北京大唐发电股份有限公司,翟若愚,董事长,,广安门内大街482号,广内,第四,104,110549,1,10,83581901,,83581907,,100053,火力发电,,,4411,1,340,1,10,1994,12,1,,2,0,2,0,0,0,0,0,11,22,1082,220874,783796,0,783796,0,1994,412441,56885,24495,0,0,44074,0,856831,1234012,1224826,436682,83514,828874,99263,99263,1012979,116703,-156336,-39633,1052612,638557,0,0,638557,0,0,0,783796,529443,0,1678,252675,132,0,0,0,0,-69,-93,252876,0,264743,0,283196,0,0,29339,29339,7338,7338,16775,38393,55168,388130,18453,2000
100018486 ,中核金原铀业有限责任公司,陆有临,总经理,,月坛南三里河南三巷一号,月坛,二区一,102,110729,2,10,68512211,23,68523743,2,100822,铀产品,,,966,1,110,1,10,1996,9,1,,1,0,1,0,0,0,0,0,30,21,59,0,0,0,0,0,40,20,97612,0,0,0,0,132970,247,373,0,126,59,0,0,0,230829,23425,20000,43425,187404,181570,181570,0,0,0,0,0,3814,3697,0,2,115,-36,2088,0,0,247,-821,-821,-1188,0,908,0,930,89,0,954,954,149,149,20,629,609,0,22,2000
100019227 ,汇凯集团有限公司,钟涛,总裁,海淀,二里庄小35号楼(汇凯大厦),学院路街道,二里庄,108,111000,4,10,62343032,,,,100083,广播电视设备,计算机软件,,4130,1,159,9,90,1996,3,1,,1,0,1,0,0,0,0,0,30,23,0,126296,133390,0,99108,0,47,29822,222742,28875,50001,0,0,94326,91441,4243,0,2943,0,0,549,0,409058,202235,20000,222235,186823,50000,0,0,50000,0,0,0,91138,81668,483,0,8987,3099,6981,0,0,0,5512,0,-407,0,25546,0,25546,0,0,-36,-36,728,728,0,0,0,103568,0,2000
100024130 ,华电管道工程技术有限公司,何光吉,董事长,卢沟桥,西三环甲17号,卢沟桥,六里桥北里家委会,106,110823,2,10,63834537,12,63834589,,,管道,,,3463,1,159,1,90,1996,10,1,,1,0,1,0,0,0,0,0,30,12,35,25651,25651,0,25651,0,36,4558,20361,0,0,0,19866,100,352,544,544,192,0,564,0,0,20813,9990,0,9990,10823,2000,2000,0,0,0,0,0,25651,21469,2499,102,1581,-313,678,0,0,0,379,379,211,0,160,0,945,0,0,840,840,51,51,683,3677,4360,21776,785,2000
100024982 ,航天金穗高技术有限公司,夏国洪,董事长,,中关村南三街18号,双榆树街道,知春路一居委会,108,110900,2,10,68744525,,68744498,,100080,金税卡,延伸卡,安全开票卡,3615,1,159,1,10,1997,2,1,,1,0,1,0,0,0,0,0,30,23,0,310366,310366,94508,369757,0,121,204980,294600,15180,115176,21980,230739,19000,8591,10416,6234,1825,419,10304,13278,10000,335469,148527,1,148528,186941,33800,0,0,33800,0,0,0,369757,222186,5573,1486,140512,1048,23821,309,0,0,2533,2533,115206,0,114769,0,131108,18059,0,5492,5492,733,733,14853,48105,62958,120239,16339,2000
100026793 ,清华同方股份有限公司,梁猷能,董事长,,海淀区清华大学13区,清华园街道,东升,108,111400,3,10,62789888,,62789765,,100084,计算机及信息技术,人工环境控制及设备,核应用技术民用产品,4141,1,160,1,10,1997,6,1,,1,0,1,0,0,0,0,0,30,23,0,2414753,2414753,2405391,1926873,43737,2971,1467229,2443220,126577,341854,194447,1792370,629214,375258,149765,149765,22374,2943,96884,144877,124012,3592569,860670,151641,1012314,2580255,383074,193083,0,7971,182020,0,0,1826873,1561124,93847,18193,153709,139458,63314,0,0,0,16294,0,213559,0,232545,0,269115,16114,0,101840,101840,28859,28859,18377,276076,294453,965901,36570,2000
100027067 ,中宏饲料有限责任公司,涂泰,总经理,,南大安胡同6号,福绥境,国英,102,110415,1,10,64564405,,64564405,,100035,生产饲料添加剂,,,1314,1,141,1,90,1997,6,1,,1,0,1,0,0,0,0,0,30,11,10,29,29,0,90,0,6,10,12561,78,248,14,8604,1200,43,97,97,54,20,43,3,0,13807,2483,0,2483,11324,11650,8650,0,3000,0,0,0,5519,5228,142,0,149,146,298,0,9,47,-4,-4,1,0,1,0,2,0,0,106,72,15,10,1,29,30,20,1,2000
100028078 ,蓝星清洗剂有限公司,任建中,总经理,峪地区,空港开发区B区,后沙峪地区办事处,,113,110457,5,10,80495289,,80495483,,101300,靓靓清洗剂,蓝星不冻液,,2677,1,159,9,10,1997,10,1,,1,0,1,0,0,0,0,0,13,11,530,82111,82111,0,75226,0,151,14530,53009,12146,30371,8285,46809,0,-10180,2130,2130,15323,5593,-10180,0,0,42829,39863,4066,43929,-1100,10000,10000,0,0,0,0,0,81488,78066,915,0,2507,0,3724,132,252,0,-18,-42,-1199,0,-1237,-1237,-604,0,0,1310,938,183,131,633,13211,13844,68214,633,2000
101100043 ,北京市第三肉类联合加工厂,赵志刚,厂长,清河,清河双泉堡,学院路,二里庄,108,111059,5,10,62932357,,62921260,,100085,生猪屠宰,熟制加工,,1341,1,110,1,20,1939,9,1,,1,0,1,0,0,0,0,0,22,11,502,517,863,0,700,0,322,552,29931,17950,6048,3231,29390,0,23028,38424,0,16265,40,23912,0,0,52959,55976,659,56635,-3676,43074,43074,0,0,0,0,0,864,1002,128,0,-266,1042,3868,108,0,1176,2548,2548,-5640,0,-5974,-5974,-5974,0,0,1301,1301,179,179,-27,146,119,311,0,2000
